Day,Time (HHMM),AirTemp (degC),AirPress (Pa),WindVel (m/s),WindDir (deg)
1,1040,28.75,101060,3.6008,273.75
1,1041,28.735,101061,3.6008,273.375
1,1042,28.72,101062,3.6008,273
1,1043,28.705,101063,3.6008,272.625
1,1044,28.69,101064,3.6008,272.25
1,1045,28.675,101065,3.6008,271.875
1,1046,28.66,101066,3.6008,271.5
1,1047,28.645,101067,3.6008,271.125
1,1048,28.63,101068,3.6008,270.75
1,1049,28.615,101069,3.6008,270.375
1,1050,28.6,101070,3.6008,270
1,1051,28.60166667,101071.6667,3.62652,270.375
1,1052,28.60333333,101073.3333,3.65224,270.75
1,1053,28.605,101075,3.67796,271.125
1,1054,28.60666667,101076.6667,3.70368,271.5
1,1055,28.60833333,101078.3333,3.7294,271.875
1,1056,28.61,101080,3.75512,272.25
1,1057,28.61166667,101081.6667,3.78084,272.625
1,1058,28.61333333,101083.3333,3.80656,273
1,1059,28.615,101085,3.83228,273.375
1,1100,28.61666667,101086.6667,3.858,273.75
1,1101,28.61833333,101088.3333,3.88372,274.125
1,1102,28.62,101090,3.90944,274.5
1,1103,28.62166667,101091.6667,3.93516,274.875
1,1104,28.62333333,101093.3333,3.96088,275.25
1,1105,28.625,101095,3.9866,275.625
